filename,sum_total_global,ratio_top_bottom,center_of_mass_y,avg_percent_above_threshold,horizontal_vs_vertical_ratio,max_overall,mean_of_means,std_of_means,mean_signed_vertical,mean_signed_horizontal
img_296.jpg,9069.066406,0.920041,0.531140,0.238351,1.402013,1.000000,0.079076,0.068916,0.042489,0.030306
img_297.jpg,6204.201660,0.675226,0.576344,0.095319,1.545783,1.000000,0.054096,0.044075,0.031838,0.020597
img_298.jpg,10639.083008,0.660627,0.617215,0.265738,0.829546,1.000000,0.092765,0.083174,0.041896,0.050504
img_299.jpg,12998.314453,0.653312,0.605201,0.281529,0.822415,1.000000,0.113336,0.108506,0.045451,0.055265
img_300.jpg,12768.133789,0.865366,0.535167,0.367920,1.437706,1.000000,0.111329,0.113401,0.049001,0.034083
img_301.jpg,15184.085938,0.766327,0.530298,0.439828,1.344323,1.000000,0.132395,0.055765,0.117329,0.087277
img_302.jpg,6097.751953,0.975625,0.524348,0.139509,1.528085,1.000000,0.053168,0.031034,0.041526,0.027175
img_303.jpg,11604.032227,0.496384,0.629010,0.290292,1.180146,1.000000,0.101179,0.091988,0.052334,0.044345
img_304.jpg,10950.902344,0.639037,0.606441,0.273996,0.925611,1.000000,0.095484,0.085250,0.043723,0.047237
img_305.jpg,14359.805664,0.625198,0.589780,0.343323,1.080280,1.000000,0.125208,0.119307,0.062650,0.057994
img_306.jpg,4747.060059,0.902200,0.533001,0.094709,1.529551,1.000000,0.041391,0.025157,0.031983,0.020910
img_307.jpg,17362.710938,0.709216,0.570534,0.331560,1.176943,1.000000,0.151391,0.172495,0.063534,0.053982
img_308.jpg,10671.256836,0.535603,0.610258,0.262425,0.581551,1.000000,0.093046,0.066514,0.043473,0.074754
img_309.jpg,9750.090820,0.344015,0.649877,0.226746,1.314213,1.000000,0.085014,0.078198,0.047655,0.036261
img_310.jpg,8800.593750,0.822437,0.499904,0.231742,1.043459,1.000000,0.076735,0.057881,0.049684,0.047615
img_311.jpg,9623.945312,0.634930,0.607822,0.259155,0.660556,1.000000,0.083914,0.068478,0.033966,0.051420
img_313.jpg,9713.090820,0.472181,0.636601,0.249782,0.724171,1.000000,0.084691,0.072180,0.036145,0.049912
img_314.jpg,17844.421875,0.624127,0.569268,0.473293,0.826066,1.000000,0.155591,0.099524,0.082436,0.099793
img_315.jpg,8959.520508,0.409328,0.633937,0.245762,1.052016,1.000000,0.078121,0.070074,0.038023,0.036143
img_316.jpg,10246.034180,0.611598,0.616321,0.264056,0.817476,1.000000,0.089338,0.083770,0.037114,0.045400
img_319.jpg,18257.681641,0.675880,0.571056,0.474505,0.666781,1.000000,0.159194,0.103451,0.076614,0.114902
img_320.jpg,8825.882812,0.743456,0.516187,0.229946,1.267433,1.000000,0.076956,0.059693,0.053489,0.042202
img_321.jpg,12655.794922,0.675168,0.598649,0.298532,1.155655,1.000000,0.110350,0.097451,0.057317,0.049597
img_322.jpg,20103.861328,0.951025,0.519660,0.484602,1.422807,1.000000,0.175292,0.129857,0.124346,0.087395
img_323.jpg,9064.646484,0.721569,0.591188,0.219814,0.836287,1.000000,0.079037,0.048127,0.046131,0.055162
img_325.jpg,8405.906250,0.470304,0.617837,0.225786,1.360791,1.000000,0.073294,0.038369,0.054477,0.040033
img_326.jpg,9136.168945,0.639787,0.571136,0.208235,1.573002,1.000000,0.079661,0.074460,0.053307,0.033889
img_327.jpg,12503.472656,0.773242,0.571724,0.319057,0.567989,1.000000,0.109022,0.064380,0.052443,0.092331
img_328.jpg,12381.592773,0.529681,0.621674,0.339800,1.048497,1.000000,0.107959,0.076805,0.062878,0.059970
img_329.jpg,10959.410156,0.728912,0.548975,0.296709,1.518722,1.000000,0.095558,0.075894,0.060225,0.039655
